Date,Open,High,Low,Close,Adj Close,Volume
2018-11-09,93297.703125,93697.898438,92127.101563,92839.203125,92839.203125,1172418500
2018-11-12,93005.796875,93695.296875,91445.296875,91445.296875,91445.296875,926925400
2018-11-13,91532.296875,93094.898438,91297.703125,92708.601563,92708.601563,1154530000
2018-11-14,92530.601563,93691.296875,91945.796875,93287.203125,93287.203125,1348072800
2018-11-15,93523.296875,94002.500000,92695.296875,93296.796875,93296.796875,1293407100
2018-11-16,93785.898438,94308.296875,92743.898438,93616.500000,93616.500000,964326800
2018-11-19,93568.203125,94602.703125,93568.203125,94570.898438,94570.898438,1145808200
2018-11-20,94279.796875,94391.703125,91545.796875,91686.398438,91686.398438,1573405100
2018-11-21,92021.500000,92708.000000,91559.398438,92708.000000,92708.000000,1160518100
2018-11-22,92743.296875,92940.000000,91883.296875,92628.796875,92628.796875,875769500
2018-11-23,92581.601563,93003.296875,92028.703125,93003.296875,93003.296875,804109400
2018-11-26,93521.703125,94435.796875,93455.296875,93962.398438,93962.398438,1376348600
2018-11-27,93904.898438,94104.500000,93043.000000,93517.000000,93517.000000,1221220300
2018-11-28,93756.296875,94673.398438,93756.296875,94071.000000,94071.000000,1222263800
2018-11-29,94963.203125,95544.601563,94827.296875,95125.601563,95125.601563,1165923600
2018-11-30,95164.500000,95416.000000,94527.703125,95416.000000,95416.000000,1604635900
2018-12-03,96367.000000,96829.796875,94974.500000,94974.500000,94974.500000,1408068300
2018-12-04,94649.898438,95550.500000,93530.398438,93880.500000,93880.500000,1352410100
2018-12-05,93047.601563,94197.898438,92847.703125,93970.203125,93970.203125,1148026700
2018-12-06,93506.796875,93866.601563,92375.296875,92827.296875,92827.296875,1121977400
2018-12-07,93521.203125,93807.000000,93149.296875,93699.500000,93699.500000,968521900
2018-12-10,93245.898438,93453.703125,92217.500000,92227.296875,92227.296875,821525000
